Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
PM2.5,2013-12-03 14:00,2013,12,3,14,28,µg/m³,1 Hr,Valid
PM2.5,2013-12-03 15:00,2013,12,3,15,30,µg/m³,1 Hr,Valid
PM2.5,2013-12-03 16:00,2013,12,3,16,33,µg/m³,1 Hr,Valid
PM2.5,2013-12-03 17:00,2013,12,3,17,46,µg/m³,1 Hr,Valid
PM2.5,2013-12-03 18:00,2013,12,3,18,74,µg/m³,1 Hr,Valid
PM2.5,2013-12-03 19:00,2013,12,3,19,136,µg/m³,1 Hr,Valid
PM2.5,2013-12-03 20:00,2013,12,3,20,152,µg/m³,1 Hr,Valid
PM2.5,2013-12-03 21:00,2013,12,3,21,159,µg/m³,1 Hr,Valid
PM2.5,2013-12-03 22:00,2013,12,3,22,164,µg/m³,1 Hr,Valid
PM2.5,2013-12-03 23:00,2013,12,3,23,167,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 00:00,2013,12,4,0,180,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 01:00,2013,12,4,1,187,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 02:00,2013,12,4,2,163,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 03:00,2013,12,4,3,185,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 04:00,2013,12,4,4,159,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 05:00,2013,12,4,5,139,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 06:00,2013,12,4,6,151,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 07:00,2013,12,4,7,113,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 08:00,2013,12,4,8,137,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 09:00,2013,12,4,9,92,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 10:00,2013,12,4,10,71,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 11:00,2013,12,4,11,73,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 12:00,2013,12,4,12,68,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 13:00,2013,12,4,13,47,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 14:00,2013,12,4,14,41,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 15:00,2013,12,4,15,43,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 16:00,2013,12,4,16,56,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 17:00,2013,12,4,17,69,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 18:00,2013,12,4,18,83,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 19:00,2013,12,4,19,130,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 20:00,2013,12,4,20,175,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 21:00,2013,12,4,21,155,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 22:00,2013,12,4,22,106,µg/m³,1 Hr,Valid
PM2.5,2013-12-04 23:00,2013,12,4,23,83,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 00:00,2013,12,5,0,122,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 01:00,2013,12,5,1,162,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 02:00,2013,12,5,2,142,µg/m³,1 Hr,Valid
