"","theta","P-value"
"1",-0.135576533561761,0.63136657502498
"2",0.065369529508974,0.833533517630811
"3",-0.298438702609903,0.278279401986596
"4",-0.576909234675131,0.0298677176549417
"5",-0.205330579897348,0.448706605720542
"6",-0.333481952723731,0.226897218490715
"7",-0.370583066970522,0.148830093557261
"8",-0.372518676554455,0.171064108703182
"9",-0.0209174146067053,0.940824168147511
"10",-0.245679669704931,0.317017419619768
"11",-0.0731991549990614,0.798241915577251
"12",-0.143859687552446,0.56238194331638
"13",-0.2592365589848,0.363211398004228
"14",-0.182754346630428,0.516110966578876
"15",-0.464849662628144,0.0948877892523642
"16",-0.182578166000923,0.514554527737085
"17",-0.0159341174407555,0.954645178989029
"18",0.242589603905619,0.42474126250804
"19",-0.265719568466413,0.355968014392789
"20",-0.316271029178076,0.294841819294485
"21",0.012598956826535,0.963807291906264
"22",-0.139209297624052,0.635302810897891
"23",-0.388985815106029,0.213848059392356
"24",-0.618425212688463,0.0205214602979742
"25",-0.202017610687935,0.44477193467572
"26",-0.558288226121462,0.0305183557547117
"27",-0.489383623360561,0.0549755645618796
"28",-0.300301865503259,0.273734259569376
