"","theta","P-value"
"1",0.0438134967692454,0.880876007447267
"2",0.123833499981702,0.659474547295948
"3",0.148694563725634,0.602856539961375
"4",0.119790311160052,0.663214441248528
"5",0.0671192328086088,0.826569552878109
"6",0.14972748976427,0.601666400069472
"7",-0.0954863025567914,0.740448504083518
"8",0.300030450228192,0.297088030871917
"9",0.234381797495689,0.437441636793801
"10",0.0536585876663418,0.834726445683044
"11",0.408705202075608,0.141938651967119
"12",-0.0772548986953536,0.76804153304219
"13",0.453396185361275,0.0650046735719425
"14",0.246429730659818,0.340315448429533
"15",-0.025661544317801,0.922621385458272
"16",-0.097474946434593,0.737383342377952
"17",0.419169385848178,0.175251774221939
"18",0.543460450642346,0.0839358218600311
"19",-0.16699735289339,0.547281618008358
"20",0.0123143304735276,0.964400741601505
"21",0.321057654955753,0.282783543778653
"22",-0.162030306315998,0.605565349973997
"23",-0.233686790730251,0.417537231341272
"24",0.594311801519365,0.0407074445938411
"25",0.354601768576273,0.225064062237313
"26",0.87557899106403,0.0141133460175195
"27",0.0693597067397489,0.800823587868805
"28",0.67205185448266,0.0353374389645393
