"","theta","P-value"
"1",0.172266578097532,0.593244035881208
"2",-0.237266909706877,0.475197398640384
"3",0.13756916309261,0.66415660794565
"4",-0.329728896561063,0.297808367576415
"5",-0.0801183278119302,0.808181698594185
"6",-0.337908113600935,0.261683121437869
"7",-0.212157911825419,0.499784890970727
"8",0.912802283589222,0.0176119668281343
"9",0.534030464446254,0.154522308434395
"10",-0.0334250845753754,0.914907192671963
"11",0.49839432415789,0.128190056907262
"12",0.811552999875504,0.0249565426706697
"13",0.517635332204763,0.0950054481634941
"14",-0.238698131399017,0.463826088569784
"15",0.0370462495385349,0.897612797654007
"16",0.103242262519689,0.737424253119922
"17",-0.476868383004667,0.160348372389946
"18",0.462034615732508,0.163089954665393
"19",0.0654603988262457,0.833147045518142
"20",0.218573457863138,0.490836735544211
"21",-0.105896312942101,0.752128691630931
"22",-0.304041806691581,0.350782146054277
"23",0.08238716843627,0.80996470202313
"24",0.306101935630479,0.322849186810734
"25",0.0965148266609743,0.761014787871335
"26",0.129978421728917,0.669722405651147
"27",-0.0326748502007099,0.922689827242064
"28",-0.566963101877017,0.0889708938063799
